Epoch,Train Accuracy,Test Accuracy
1,0.8660558015031401,0.8733108108108109
2,0.8922835375270256,0.7432432432432432
3,0.9080613610624936,0.6266891891891891
4,0.9151395037578504,0.831081081081081
5,0.9244826521157212,0.7753378378378378
6,0.9252033357356121,0.8597972972972973
7,0.9239936168022238,0.7432432432432432
8,0.9323844332338104,0.7972972972972973
9,0.9350869968084011,0.768581081081081
10,0.9364768866467621,0.6182432432432432
11,0.9383043343971996,0.7753378378378378
12,0.9392824050241944,0.7719594594594594
13,0.942113662102337,0.8226351351351351
14,0.9370431380623906,0.7871621621621622
15,0.94363224544425,0.6233108108108109
16,0.9452023061875836,0.7195945945945946
17,0.9420364460002059,0.7449324324324325
18,0.9478533923607536,0.768581081081081
19,0.9468495830330484,0.8125
20,0.9479306084628848,0.7736486486486487
21,0.9490631112941419,0.7635135135135135
22,0.9473128796458354,0.7753378378378378
23,0.9509677751467106,0.6942567567567568
24,0.9504272624317924,0.668918918918919
25,0.9490631112941419,0.6418918918918919
