Epoch,Train Accuracy,Test Accuracy
1,0.8940595078760424,0.5557432432432432
2,0.9195150828786163,0.6469594594594594
3,0.9286008442293833,0.8125
4,0.9318696592196026,0.6114864864864865
5,0.9339030165757233,0.7297297297297297
6,0.9402089982497683,0.4797297297297297
7,0.940389169154741,0.6554054054054054
8,0.9410068979717904,0.6452702702702703
9,0.9447904869762175,0.6824324324324325
10,0.9482137341706991,0.5743243243243243
11,0.9404406465561619,0.6925675675675675
12,0.951662720065891,0.7381756756756757
13,0.961134561927314,0.6807432432432432
14,0.9640430351075878,0.7179054054054054
15,0.9625759291670957,0.6824324324324325
16,0.964789457428189,0.6638513513513513
17,0.9651240605374241,0.6097972972972973
18,0.9647379800267682,0.6739864864864865
19,0.9715072583136003,0.7162162162162162
20,0.9716102131164419,0.6773648648648649
21,0.9731030577576444,0.6908783783783784
22,0.9726397611448574,0.7280405405405406
23,0.9733089673633275,0.7212837837837838
24,0.9741326057860599,0.6418918918918919
25,0.9781735817975908,0.7195945945945946
