Epoch,Train Loss,Test Loss
1,0.2423940606911568,0.9959173299170829
2,0.18755587148756744,0.8820168392078297
3,0.1699730949563616,0.5688729773502093
4,0.163151493254797,1.2236213651863304
5,0.15741464102687347,0.795174973236548
6,0.14621114143257,1.7095422116485801
7,0.14555632639751123,1.0889089268607062
8,0.1415634264466287,0.9418202799719733
9,0.13379826020761215,0.8757196487607183
10,0.12668655392537706,2.285626082806974
11,0.14675868646232423,0.9596688006375287
12,0.11995313165566125,0.8700485511406048
13,0.0982215038961833,1.1756007864668563
14,0.09200908743174133,0.9716639301261386
15,0.09476462026512808,1.1657677921088967
16,0.09032676386345179,1.52116626662177
17,0.08787287180441901,1.8264304753896352
18,0.08831849096318567,1.0339976452492379
19,0.0732045238738839,1.0778078871804315
20,0.0731226972258356,1.3605865594503042
21,0.07043911385688688,1.5221359826423027
22,0.06867485599584465,1.1210971394100704
23,0.06816129811728674,1.2615255085197654
24,0.06656018163232962,1.5353199340201713
25,0.05827850480931654,1.4673410903763127
