Epoch,Train Loss,Test Loss
1,0.15129650924590668,3.593106711232984
2,0.0882711231932512,1.6438367302353318
3,0.07817192329127373,0.7816746279194549
4,0.06802074813770975,1.2379737544704128
5,0.06656221441131036,0.8264273453403164
6,0.05755740666199538,0.9412067210352099
7,0.059145485079262095,0.8234372106758324
8,0.0481973926964478,1.0711073553239978
9,0.04628817331819459,0.9498631632005846
10,0.03845587560238119,1.2770329810477592
11,0.0389844883967973,0.9919137423102921
12,0.0381237208755689,1.3883113442240536
13,0.03794832796036344,1.4800996538755056
14,0.0331656196759596,1.3177565900055137
15,0.030574419176035126,1.8875028281598478
16,0.028256516246832536,1.1857410862639144
17,0.02884602915347805,1.809466526315019
18,0.030268726438939,1.305279776856706
19,0.027405149945144154,1.1669594339422278
20,0.02357315940591894,1.4640902828525852
21,0.023852325203020882,1.2574804699098743
22,0.025162526184235156,1.1163058184288643
23,0.0227226618646503,1.5753917468560708
24,0.022255422699742986,1.3026961281492904
25,0.02297454972898597,1.36798581883714
