Epoch,Train Loss,Test Loss
1,0.5540317980106393,0.4339001887553447
2,0.47315025988352183,0.4339035266154521
3,0.43873830546339126,0.4675287878191149
4,0.4150228024811599,0.4946053414731412
5,0.40323823565534933,0.5251827578286867
6,0.39283069920051383,0.5574745568069251
7,0.3844396422516363,0.5816742971136764
8,0.37709767531811067,0.6093440684112342
9,0.36756920079658173,0.6340131856299736
10,0.36370312495002366,0.6708838987994838
11,0.3629541737000139,0.6768004314319508
12,0.3586563961790382,0.6927649459323367
13,0.3540731004800682,0.7131708248241527
14,0.3541553692878195,0.7294254141884882
15,0.35070671071650794,0.7599267572970003
16,0.34540410860674914,0.7641605734825134
17,0.3446076423371598,0.7831756037634772
18,0.3405440034988942,0.7841343138668988
19,0.34264995938292203,0.8007112983110789
20,0.3375790749168244,0.8071147686726338
21,0.3375116056913845,0.8398029562589284
22,0.335715056103903,0.8529508001095539
23,0.3351509030166203,0.8500360894847561
24,0.33063709051948026,0.8516408285579166
25,0.32816975353974887,0.8851462071006363
