Epoch,Train Accuracy,Test Accuracy
1,0.7109801297230516,0.8462837837837838
2,0.7527540409760115,0.8293918918918919
3,0.7806547925460723,0.7736486486486487
4,0.7932667558941625,0.7263513513513513
5,0.8000875115824153,0.6790540540540541
6,0.8088901472253681,0.6554054054054054
7,0.8126994749305055,0.6469594594594594
8,0.8166374961391949,0.6385135135135135
9,0.8253886543807268,0.6368243243243243
10,0.8278338309482137,0.6131756756756757
11,0.8279882631524761,0.6131756756756757
12,0.8306908267270668,0.6047297297297297
13,0.8343971996293628,0.5912162162162162
14,0.8329815710902914,0.5827702702702703
15,0.8363790795840625,0.5777027027027027
16,0.8393132914650469,0.5760135135135135
17,0.8400082363842273,0.5675675675675675
18,0.8431998352723155,0.5675675675675675
19,0.8420673324410584,0.5675675675675675
20,0.8446669412128076,0.5675675675675675
21,0.8434057448779986,0.5506756756756757
22,0.8469576855760321,0.5557432432432432
23,0.8442036446000206,0.5557432432432432
24,0.8471121177802945,0.5557432432432432
25,0.848476268917945,0.5472972972972973
