Epoch,Train Accuracy,Test Accuracy
1,0.9381,0.3074
2,0.9656,0.6199
3,0.9705,0.8429
4,0.9737,0.7061
5,0.9739,0.7905
6,0.9785,0.7669
7,0.9779,0.7569
8,0.9823,0.6943
9,0.9826,0.777
10,0.9852,0.6993
11,0.9845,0.7416
12,0.9855,0.6926
13,0.9858,0.674
14,0.9868,0.6959
15,0.9884,0.6368
16,0.9891,0.7399
17,0.9894,0.6571
18,0.989,0.728
19,0.9895,0.7584
20,0.9916,0.6993
21,0.9914,0.7483
22,0.9904,0.7618
23,0.9916,0.6875
24,0.992,0.7432
25,0.9914,0.7145
